Location,Size_sqft,BHK,Furnished,Monthly_Rent
Mumbai,800,2,Furnished,35000
Delhi,1200,3,Semi-Furnished,28000
Bangalore,1000,2,Unfurnished,22000
Chennai,950,2,Furnished,20000
Hyderabad,1100,3,Furnished,25000
Pune,750,1,Unfurnished,12000
Mumbai,1500,3,Furnished,55000
Delhi,600,1,Semi-Furnished,15000
Bangalore,1300,3,Semi-Furnished,32000
Chennai,1400,4,Furnished,38000
Hyderabad,850,2,Unfurnished,18000
Pune,1100,2,Furnished,22000
Mumbai,2000,4,Furnished,75000
Delhi,900,2,Unfurnished,20000
Bangalore,700,1,Furnished,16000
